 1.000000000000E-02 -7.000000002908E+02  9.177306845293E+02 -1.617730684820E+03
 2.000000000000E-02 -6.999994892231E+02  9.221596444882E+02 -1.622159133711E+03
 3.000000000000E-02 -7.000458236773E+02  9.294358707513E+02 -1.629481694429E+03
 4.000000000000E-02 -7.001809872935E+02  9.393581000368E+02 -1.639539087330E+03
 5.000000000000E-02 -7.003371435029E+02  9.515323057660E+02 -1.651869449269E+03
 6.000000000000E-02 -7.004633537414E+02  9.652242463409E+02 -1.665687600082E+03
 7.000000000000E-02 -7.005601342800E+02  9.791190052041E+02 -1.679679139484E+03
 8.000000000000E-02 -7.006571825710E+02  9.909594304047E+02 -1.691616612976E+03
 9.000000000000E-02 -7.007137979323E+02  9.971848500002E+02 -1.697898647933E+03
 1.000000000000E-01 -7.007658064616E+02  9.931558065012E+02 -1.693921612963E+03
 1.100000000000E-01 -7.007870715505E+02  9.751033631246E+02 -1.675890434675E+03
 1.200000000000E-01 -7.008008755308E+02  9.435084917375E+02 -1.644309367268E+03
 1.300000000000E-01 -7.008054378909E+02  9.045335335146E+02 -1.605338971405E+03
 1.400000000000E-01 -7.008151255600E+02  8.676365231771E+02 -1.568451648737E+03
 1.500000000000E-01 -7.008194591928E+02  8.408040134646E+02 -1.541623472657E+03
 1.600000000000E-01 -7.008217611304E+02  8.279550314476E+02 -1.528776792578E+03
 1.700000000000E-01 -7.008240840543E+02  8.292925937466E+02 -1.530116677801E+03
 1.800000000000E-01 -7.008282141090E+02  8.413524063560E+02 -1.542180620465E+03
 1.900000000000E-01 -7.008267056403E+02  8.583229022034E+02 -1.559149607844E+03
 2.000000000000E-01 -7.008277393256E+02  8.752693378289E+02 -1.576097077155E+03
 2.100000000000E-01 -7.008239003941E+02  8.898332569956E+02 -1.590657157390E+03
 2.200000000000E-01 -7.008302978467E+02  9.013058754959E+02 -1.602136173343E+03
 2.300000000000E-01 -7.008313233894E+02  9.096901093839E+02 -1.610521432773E+03
 2.400000000000E-01 -7.008236468213E+02  9.146953162449E+02 -1.615518963066E+03
 2.500000000000E-01 -7.008218374855E+02  9.163856104877E+02 -1.617207447973E+03
 2.600000000000E-01 -7.008246392412E+02  9.174409223883E+02 -1.618265561629E+03
 2.700000000000E-01 -7.008266811721E+02  9.205641377789E+02 -1.621390818951E+03
 2.800000000000E-01 -7.008317819629E+02  9.278091831669E+02 -1.628640965130E+03
 2.900000000000E-01 -7.008226177125E+02  9.408667719267E+02 -1.641689389639E+03
 3.000000000000E-01 -7.008198478512E+02  9.526084835534E+02 -1.653428331405E+03
 3.100000000000E-01 -7.008106091144E+02  9.559155209838E+02 -1.656726130098E+03
 3.200000000000E-01 -7.008261916945E+02  9.526986231253E+02 -1.653524814820E+03
 3.300000000000E-01 -7.008182414699E+02  9.474505116656E+02 -1.648268753136E+03
 3.400000000000E-01 -7.008179853648E+02  9.427418595386E+02 -1.643559844903E+03
 3.500000000000E-01 -7.008156868432E+02  9.390612088071E+02 -1.639876895650E+03
 3.600000000000E-01 -7.008095282819E+02  9.364763592093E+02 -1.637285887491E+03
 3.700000000000E-01 -7.008092470738E+02  9.374784464398E+02 -1.638287693514E+03
 3.800000000000E-01 -7.007964523876E+02  9.453449035155E+02 -1.646141355903E+03
 3.900000000000E-01 -7.007946906395E+02  9.590603595951E+02 -1.659855050235E+03
 4.000000000000E-01 -7.007929291575E+02  9.735192724403E+02 -1.674312201598E+03
 4.100000000000E-01 -7.007873033980E+02  9.835473219042E+02 -1.684334625302E+03
 4.200000000000E-01 -7.007834453797E+02  9.876035605769E+02 -1.688387005957E+03
 4.300000000000E-01 -7.007951990312E+02  9.879577170615E+02 -1.688752916093E+03
 4.400000000000E-01 -7.008008296510E+02  9.875830466437E+02 -1.688383876295E+03
 4.500000000000E-01 -7.008026251230E+02  9.871875850166E+02 -1.687990210140E+03
 4.600000000000E-01 -7.007939275967E+02  9.865746042846E+02 -1.687368531881E+03
 4.700000000000E-01 -7.007977819507E+02  9.851157972570E+02 -1.685913579208E+03
 4.800000000000E-01 -7.007890902496E+02  9.811442819528E+02 -1.681933372202E+03
 4.900000000000E-01 -7.007911181948E+02  9.738952351679E+02 -1.674686353363E+03
 5.000000000000E-01 -7.007854463029E+02  9.670525957091E+02 -1.667838042012E+03
 5.100000000000E-01 -7.007923649447E+02  9.663017058353E+02 -1.667094070780E+03
 5.200000000000E-01 -7.007993324214E+02  9.705570396749E+02 -1.671356372096E+03
